FileNumber,BeThickness,EffectiveLaserEnergy,GasPressure,AspectRatio,NozzleLength,TaperLength,TubeDiameter,Time,ElectronFluxLimiter,ShockLocation
1,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,0.000000027,0.6,2959.48
2,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,0.000000026,0.6,2871.436
3,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.65E-08,0.6,2915.458
4,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.35E-08,0.6,1634.817
5,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,0.000000014,0.6,1686.843
6,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.45E-08,0.6,1738.869
7,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,0.000000015,0.6,1790.896
8,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.55E-08,0.6,1844.922
9,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,0.000000016,0.6,1896.948
10,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.65E-08,0.6,1950.975
11,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,0.000000017,0.6,2003.001
12,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.75E-08,0.6,2055.028
13,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,0.000000018,0.6,2107.053
14,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.85E-08,0.6,2161.081
15,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,0.000000019,0.6,2211.105
16,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.95E-08,0.6,2261.131
17,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,0.00000002,0.6,2287.144
18,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,0.000000022,0.6,2507.254
19,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.25E-08,0.6,2553.277
20,1,21,2156.4,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,0.000000023,0.6,2597.299
