FileNumber,BeThickness,LaserEnergy,GasPressure,AspectRatio,NozzleLength,TaperLength,TubeDiameter,Time,ElectronFluxLimiter,EnergyScaleFactor,ShockLocation
2460,121,18,3600,1.1,1,500,500,575,0.000000022,0.1,1.1,3975.659
2461,121,18,3600,1.1,1,500,500,575,0.000000023,0.1,1.1,4125.708
2462,121,18,3600,1.1,1,500,500,575,0.000000024,0.1,1.1,4269.757
2463,121,18,3600,1.1,1,500,500,575,0.000000025,0.1,1.1,4405.802
2464,121,18,3600,1.1,1,500,500,575,0.000000026,0.1,1.1,4539.847
2047,101,18,3600,1.2032,1,500,500,575,0.00000001,0.04,0.4,1120.56
2048,101,18,3600,1.2032,1,500,500,575,0.000000011,0.04,0.4,1224.612
2049,101,18,3600,1.2032,1,500,500,575,0.000000012,0.04,0.4,1326.663
2050,101,18,3600,1.2032,1,500,500,575,0.000000013,0.04,0.4,1426.713
2051,101,18,3600,1.2032,1,500,500,575,0.000000014,0.04,0.4,1528.764
2052,101,18,3600,1.2032,1,500,500,575,0.000000015,0.04,0.4,1632.816
2053,101,18,3600,1.2032,1,500,500,575,0.000000016,0.04,0.4,1734.867
2054,101,18,3600,1.2032,1,500,500,575,0.000000017,0.04,0.4,1840.92
2055,101,18,3600,1.2032,1,500,500,575,0.000000018,0.04,0.4,1938.969
2056,101,18,3600,1.2032,1,500,500,575,0.000000019,0.04,0.4,2031.016
2057,101,18,3600,1.2032,1,500,500,575,0.00000002,0.04,0.4,2121.061
2058,101,18,3600,1.2032,1,500,500,575,0.000000021,0.04,0.4,2253.126
2059,101,18,3600,1.2032,1,500,500,575,0.000000022,0.04,0.4,2347.174
2060,101,18,3600,1.2032,1,500,500,575,0.000000023,0.04,0.4,2445.223
2061,101,18,3600,1.2032,1,500,500,575,0.000000024,0.04,0.4,2541.271
2062,101,18,3600,1.2032,1,500,500,575,0.000000025,0.04,0.4,2635.318
2063,101,18,3600,1.2032,1,500,500,575,0.000000026,0.04,0.4,2729.365
2064,101,18,3600,1.2032,1,500,500,575,0.000000027,0.04,0.4,2821.411
2192,109,18,3600,1.2032,1,500,500,575,0.000000009,0.1,0.4,1030.677
2193,109,18,3600,1.2032,1,500,500,575,0.00000001,0.1,0.4,1128.71
2194,109,18,3600,1.2032,1,500,500,575,0.000000011,0.1,0.4,1234.745
2195,109,18,3600,1.2032,1,500,500,575,0.000000012,0.1,0.4,1338.78
2196,109,18,3600,1.2032,1,500,500,575,0.000000013,0.1,0.4,1436.812
2197,109,18,3600,1.2032,1,500,500,575,0.000000014,0.1,0.4,1538.846
2198,109,18,3600,1.2032,1,500,500,575,0.000000015,0.1,0.4,1648.883
2199,109,18,3600,1.2032,1,500,500,575,0.000000016,0.1,0.4,1748.916
2200,109,18,3600,1.2032,1,500,500,575,0.000000017,0.1,0.4,1846.949
2201,109,18,3600,1.2032,1,500,500,575,0.000000018,0.1,0.4,1936.979
2202,109,18,3600,1.2032,1,500,500,575,0.000000019,0.1,0.4,2029.01
2203,109,18,3600,1.2032,1,500,500,575,0.00000002,0.1,0.4,2119.04
2204,109,18,3600,1.2032,1,500,500,575,0.000000021,0.1,0.4,2209.07
2205,109,18,3600,1.2032,1,500,500,575,0.000000022,0.1,0.4,2357.119
2206,109,18,3600,1.2032,1,500,500,575,0.000000023,0.1,0.4,2445.148
2207,109,18,3600,1.2032,1,500,500,575,0.000000024,0.1,0.4,2529.176
2208,109,18,3600,1.2032,1,500,500,575,0.000000025,0.1,0.4,2611.204
2209,109,18,3600,1.2032,1,500,500,575,0.000000026,0.1,0.4,2691.23
2210,109,18,3600,1.2032,1,500,500,575,0.000000027,0.1,0.4,2773.258
2354,117,18,3600,1.2032,1,500,500,575,0.000000006,0.04,1.1,1172.724
2355,117,18,3600,1.2032,1,500,500,575,0.000000007,0.04,1.1,1364.788
2356,117,18,3600,1.2032,1,500,500,575,0.000000008,0.04,1.1,1552.851
2357,117,18,3600,1.2032,1,500,500,575,0.000000009,0.04,1.1,1740.914
2358,117,18,3600,1.2032,1,500,500,575,0.00000001,0.04,1.1,1918.973
2359,117,18,3600,1.2032,1,500,500,575,0.000000011,0.04,1.1,2159.053
2360,117,18,3600,1.2032,1,500,500,575,0.000000012,0.04,1.1,2313.104
2361,117,18,3600,1.2032,1,500,500,575,0.000000013,0.04,1.1,2495.165
2362,117,18,3600,1.2032,1,500,500,575,0.000000014,0.04,1.1,2689.23
2363,117,18,3600,1.2032,1,500,500,575,0.000000015,0.04,1.1,2863.288
2364,117,18,3600,1.2032,1,500,500,575,0.000000016,0.04,1.1,3029.343
2365,117,18,3600,1.2032,1,500,500,575,0.000000017,0.04,1.1,2985.328
2366,117,18,3600,1.2032,1,500,500,575,0.000000018,0.04,1.1,3333.444
2367,117,18,3600,1.2032,1,500,500,575,0.000000019,0.04,1.1,3485.495
2368,117,18,3600,1.2032,1,500,500,575,0.00000002,0.04,1.1,3611.537
2369,117,18,3600,1.2032,1,500,500,575,0.000000021,0.04,1.1,3749.583
2370,117,18,3600,1.2032,1,500,500,575,0.000000022,0.04,1.1,3883.628
2371,117,18,3600,1.2032,1,500,500,575,0.000000023,0.04,1.1,3941.647
2372,117,18,3600,1.2032,1,500,500,575,0.000000024,0.04,1.1,4097.699
2373,117,18,3600,1.2032,1,500,500,575,0.000000025,0.04,1.1,4207.736
2374,117,18,3600,1.2032,1,500,500,575,0.000000026,0.04,1.1,4321.774
2375,117,18,3600,1.2032,1,500,500,575,0.000000027,0.04,1.1,4391.797
2531,125,18,3600,1.2032,1,500,500,575,0.000000006,0.1,1.1,1206.736
2532,125,18,3600,1.2032,1,500,500,575,0.000000007,0.1,1.1,1404.802
2533,125,18,3600,1.2032,1,500,500,575,0.000000008,0.1,1.1,1598.866
2534,125,18,3600,1.2032,1,500,500,575,0.000000009,0.1,1.1,1796.932
2535,125,18,3600,1.2032,1,500,500,575,0.00000001,0.1,1.1,1990.997
2536,125,18,3600,1.2032,1,500,500,575,0.000000011,0.1,1.1,2169.056
2537,125,18,3600,1.2032,1,500,500,575,0.000000012,0.1,1.1,2339.113
2538,125,18,3600,1.2032,1,500,500,575,0.000000013,0.1,1.1,2495.165
2539,125,18,3600,1.2032,1,500,500,575,0.000000014,0.1,1.1,2637.212
2540,125,18,3600,1.2032,1,500,500,575,0.000000015,0.1,1.1,2783.261
