LaserEnergy,GasPressure,AspectRatio,NozzleLength,TaperLength,TubeDiameter,ObsTime,ShockLocation
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.35E-08,1634.817
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.40E-08,1686.843
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.45E-08,1738.869
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.50E-08,1790.896
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.55E-08,1844.922
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.60E-08,1896.948
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.65E-08,1950.975
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.70E-08,2003.001
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.75E-08,2055.028
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.80E-08,2107.053
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.85E-08,2161.081
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.90E-08,2211.105
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,1.95E-08,2261.131
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.00E-08,2287.144
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.20E-08,2507.254
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.25E-08,2553.277
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.30E-08,2597.299
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.34E-08,2631.316
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.35E-08,2647.324
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.40E-08,2693.347
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.45E-08,2737.369
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.50E-08,2783.392
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.55E-08,2827.414
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.60E-08,2871.436
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.65E-08,2915.458
2156.400001,1.199428571,1.34920635,558.730158,470.1587304,985.7142833,2.70E-08,2959.48
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,9.50E-09,1178.589
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.00E-08,1234.617
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.05E-08,1290.645
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.10E-08,1344.672
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.15E-08,1398.699
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.20E-08,1452.726
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.25E-08,1504.752
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.30E-08,1558.779
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.35E-08,1610.805
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.40E-08,1660.83
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.45E-08,1712.856
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.50E-08,1762.881
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.55E-08,1812.906
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.60E-08,1862.932
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.65E-08,1912.957
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.70E-08,1958.979
2186.615874,1.402095235,1.3015873,469.84127,517.1428568,1076.984125,1.75E-08,2007.004
