week N P K Na Ca Mg Nx y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
44 9.508625 6.627564 18.226457 51.505522 9.309293 10.001115 94.908913 15.1732691523301 15.6217525006959 14.5708153323169 NA NA NA NA NA NA NA
44 8.052401 6.536406 18.491693 35.098317 3.491234 4.191056 46.106532 14.2386307198926 NA NA NA NA NA NA NA NA NA
44 14.542521 8.022126 21.40868 27.65864 22.124732 16.832469 37.665929 14.9131013056411 NA NA NA NA NA NA NA NA NA
44 9.133319 9.101778 12.070904 25.928577 21.780851 14.509126 23.052619 16.7879064709211 NA NA NA NA NA NA NA NA NA
44 11.330472 6.630461 7.29653 17.293925 14.725 33.296659 37.096152 17.0658989101205 16.9183357796335 18.0377011001215 NA NA NA NA NA NA NA
45 6.184658 6.519072 18.902232 32.027738 0.001 2.156067 67.826808 10.1612393143807 NA NA NA NA NA NA NA NA NA
45 13.135647 6.110125 10.90281 4.223349 3.491234 46.991603 37.747657 17.05996053072 17.1312818267345 17.4338005092651 17.0149863558177 NA NA NA NA NA NA
45 12.755437 6.071416 9.441521 21.554183 13.93239 30.188542 46.106532 17.7963989191309 17.3850113037112 17.350214883177 NA NA NA NA NA NA NA
45 2.40824 6.104706 9.722749 16.15582 13.723002 35.493621 46.106532 15.9668727087023 16.2142754376948 15.582484004997 NA NA NA NA NA NA NA
45 15.788209 5.599585 11.697239 18.965395 2.328121 28.520455 32.866291 15.4231277889822 NA NA NA NA NA NA NA NA NA
45 14.571602 5.807381 8.423874 6.234442 16.772585 35.85802 46.106532 16.4592591294193 NA NA NA NA NA NA NA NA NA
45 14.571602 5.807381 8.423874 6.234442 16.772585 35.85802 46.106532 17.3310495300443 NA NA NA NA NA NA NA NA NA
46 13.887198 5.583857 7.948239 43.478059 9.900516 46.991603 46.106532 17.8711237916247 17.4879335702154 17.5844375936183 NA NA NA NA NA NA NA
46 13.887198 5.583857 7.948239 43.478059 9.900516 46.991603 46.106532 17.4743748543742 17.5394283233737 17.4122559772798 NA NA NA NA NA NA NA
46 13.717749 5.614352 7.934721 35.227039 10.729873 44.587558 46.106532 17.5702298391775 18.191343610418 17.9933412760144 NA NA NA NA NA NA NA
46 13.872462 5.548942 7.943432 37.124289 10.71275 46.991603 46.106532 17.3410960871974 17.7774286634286 17.4345160246577 NA NA NA NA NA NA NA
46 9.567112 5.226386 3.4082 47.487447 18.246087 8.743273 44.823556 16.3282648151318 15.8923917223151 16.5861704960607 NA NA NA NA NA NA NA
46 15.746379 4.268304 11.932325 27.17855 15.68716 48.180507 47.286923 16.2618831501943 17.31033320012 17.0175471855704 NA NA NA NA NA NA NA
46 13.900068 5.606783 8.103157 34.953132 10.963162 46.991603 46.106532 16.8674427664193 17.4397911616775 17.6471410465877 NA NA NA NA NA NA NA
46 12.7821 22.75908 23.19948 14.99423 40.71204 26.8323 21.27199 12.8146829753781 13.0253590016086 12.1948661001426 NA NA NA NA NA NA NA
46 12.899658 5.393339 8.235397 44.843852 19.495623 30.976248 47.286923 18.7221074095761 18.2042104762049 17.4716488478685 NA NA NA NA NA NA NA
46 14.500933 7.080518 9.565315 47.487447 25.405617 28.217934 47.286923 17.5359105838076 16.568340469878 18.2581727585425 NA NA NA NA NA NA NA
46 11.848996 4.36764 7.174851 44.903041 14.688426 33.790774 47.286923 18.0150076589848 17.6687107781646 17.3048194517742 NA NA NA NA NA NA NA
46 14.071354 5.931282 8.796586 43.864722 17.134152 38.039013 46.106532 17.490361862029 17.4808924978258 17.3353393819254 NA NA NA NA NA NA NA
46 15.23464 7.093844 10.849492 29.619599 28.252533 3.002152 40.39237 15.9075950079764 15.8208949742839 15.8211860642788 NA NA NA NA NA NA NA
47 14.52225 30.57832 10.53078 16.08841 16.00403 33.77325 24.56671 12.5421305116816 12.945082935996 13.0309483408551 NA NA NA NA NA NA NA
47 10.323262 5.895846 3.879876 46.318147 19.640629 34.819947 46.106532 16.7021205179914 16.8999374152434 17.2735231304513 NA NA NA NA NA NA NA
47 8.753587 7.615018 10.701195 46.318147 24.294981 46.991603 46.106532 17.0463805321103 16.998613395337 17.1852716750445 NA NA NA NA NA NA NA
47 37.44096 11.87813 36.22491 23.85449 33.30626 40.38623 23.42217 10.6008393490028 11.2605250678129 10.4556285514916 NA NA NA NA NA NA NA
48 13.190481 5.316258 7.582946 46.318147 3.491234 35.105494 46.106532 16.1098554472639 16.7711859667993 16.8401926531116 16.542653244516 16.9598550698448 16.7501998163244 16.4023044288208 16.2259637112609 16.9762586339002 16.5641240138405
48 10.577349 5.778826 3.707426 45.752225 18.833341 35.046679 47.286923 17.2914106412132 16.4219122658079 17.4752133149635 NA NA NA NA NA NA NA
48 10.087535 5.204767 9.965188 47.487447 21.97349 32.037764 47.286923 17.0811943432653 17.6428934252227 16.5688382433877 NA NA NA NA NA NA NA
48 14.779636 5.520219 7.749757 42.289806 21.599458 46.991603 28.481522 17.2683915312471 17.7917877219684 17.358976818593 NA NA NA NA NA NA NA
