week N P K Na Ca Mg Nx y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
46 9.31 12.54 11.23 32.13 29.17 13.8 26.81 15.4761986215021 16.4264314788202 NA NA NA NA NA NA NA NA
46 10.48 11.58 11.22 30.47 29.1 10.8 38.6 16.1290185565118 16.3945483246225 NA NA NA NA NA NA NA NA
46 20.06 5.32 7.7 5.96 1 7.6 85.64 16.4851951559021 15.8207166428965 NA NA NA NA NA NA NA NA
46 10.78 11.43 11.04 29.3 27.66 11.81 38.37 16.0409239924829 15.9496314044908 NA NA NA NA NA NA NA NA
46 10.87 11.43 10.92 28.19 27.26 13.03 37.95 15.9822764954033 16.1252458353799 16.1032523639108 NA NA NA NA NA NA NA
46 18.97 6.144 7.788 9.73 1 8.927 78.537 16.259363205045 15.3108102922392 15.9777914661727 NA NA NA NA NA NA NA
48 10.76 11.51 1098 27.96 26.4 13.83 35.5 0.332014034296132 1.63379402509631 0.930027269293122 NA NA NA NA NA NA NA
48 10.76 11.51 10.98 27.96 26.4 13.83 35.5 16.2439197432273 16.5530746179631 16.2809492246438 NA NA NA NA NA NA NA
48 10.25 11.8 11.11 27.7 25.16 14.24 33.55 16.3030442790208 16.1189399122296 15.8501393408778 NA NA NA NA NA NA NA
48 0.5 28.28 13.58 34.8 28.27 24.41 6.63 13.112395242096 NA NA NA NA NA NA NA NA NA
48 10.856 11.45 11.13 27.94 26.67 13.047 37.34 15.9410695711317 16.626663092103 16.4990221238112 NA NA NA NA NA NA NA
48 10.73 11.53 11.15 28.11 26.55 13.08 35.56 16.0365066876059 16.2559344403687 16.0310377557494 NA NA NA NA NA NA NA
48 11.24 11.03 10.99 27.83 26.53 13.06 38.92 16.4270503775504 16.6156897863497 15.938009662453 NA NA NA NA NA NA NA
48 11.32 11.02 2.27 27.34 25.55 12.71 39.58 14.1754868191626 14.1226417323821 13.4984861804586 NA NA NA NA NA NA NA
48 10.18 11.63 2.29 29.23 30.9 11.98 36.58 14.3935185337754 15.0093115534511 13.9831586222204 NA NA NA NA NA NA NA
48 9.39 12.13 2.29 30.42 31.2 11.51 36.63 14.2796640882573 14.6003516166441 13.9183070304974 NA NA NA NA NA NA NA
48 8.77 12.39 2.28 31.34 32.04 10.81 35.62 14.7680345284137 NA NA NA NA NA NA NA NA NA
48 12 9 11 28 28 11 42.25 16.7176349454384 17.1840482458248 17.1658805016089 NA NA NA NA NA NA NA
48 9.28 10.76 2.28 40 42.13 2.25 35.62 13.9502153170762 13.1546637089798 13.8982034166846 NA NA NA NA NA NA NA
48 10 7 13 30 26 9 40 16.1499291197675 16.3076636428286 17.3339190557049 NA NA NA NA NA NA NA
49 10.95 8.82 2.31 31.53 27.35 6.66 40.47 14.5585568101459 13.6246453452252 13.5332172317198 NA NA NA NA NA NA NA
49 9.95 9.62 2.32 32.77 31.95 6.89 38.14 14.5545426306758 14.8443842151482 13.7520805664807 NA NA NA NA NA NA NA
49 9.9 9.55 2.32 32.34 30.91 6.74 38.42 13.8951672753424 14.6225710444041 13.9169787659948 NA NA NA NA NA NA NA
49 10.17 9.48 2.32 33 35.54 7.05 38.28 14.0658182978033 14.0608766135782 14.1846100975175 NA NA NA NA NA NA NA
49 8 8 2.32 40 32 4 38.28 14.4382265598544 13.8475201722952 14.3283793798319 NA NA NA NA NA NA NA
49 10 7 11 32 24 7 42 16.5176927809535 16.700026061429 17.0817594211586 NA NA NA NA NA NA NA
49 9 6 11 35 22 5 42 16.9309536061082 16.3410861379366 16.3486156096837 NA NA NA NA NA NA NA
49 8 5 9 38 20 4 42 15.7727472183326 15.884021338669 16.9288496988909 NA NA NA NA NA NA NA
49 9.95 9.53 2.32 32.61 31.95 6.64 38.38 14.1641550980376 14.6145199813886 13.7774794241052 NA NA NA NA NA NA NA
49 31.65 36.36 19.86 13.9 34.23 32.32 34.73 10.395972548835 10.4912459087724 10.3536247177511 NA NA NA NA NA NA NA
49 44.46 20.74 61.9 21.77 36.24 28.43 51.99 8.08133199789581 7.80673106861651 7.96642398713593 NA NA NA NA NA NA NA
49 55.21 15.87 38.42 22.65 33.36 40.4 53.53 9.0004543073026 9.98390996783077 10.1771602290002 NA NA NA NA NA NA NA
49 8.93 8.46 2.6 38.7 29.2 5.86 36.09 14.1658040668334 15.0849103987494 15.0779092164586 NA NA NA NA NA NA NA
49 9.67 8.12 2.58 40 29.51 7.34 33.05 15.9294521661413 15.0992448101272 14.4575576009128 14.6850120924976 14.4027701133079 NA NA NA NA NA
49 9 6 12.3 28.87 24.88 8.08 38.8 16.4804209400245 15.8547529417868 17.0026630168625 NA NA NA NA NA NA NA
49 8.4 5.39 11.88 28.2 24.2 7.54 38.09 16.2059240449565 16.6682034338249 16.5374635759142 NA NA NA NA NA NA NA
49 9.411 7.4 11.18 31.01 24.95 8.81 40 16.6067723130807 16.2341814024016 15.9094166760348 NA NA NA NA NA NA NA
49 10 7 11 30 26 9 40 16.3085746597752 16.7848862329344 NA NA NA NA NA NA NA NA
50 11.69 6.68 2.54 43.7 31.37 7.93 25.07 14.9080735783888 14.884229621646 14.6126674627448 14.8878151583395 14.4693777731015 15.1621014209666 15.082434623713 14.8763468509957 15.6734802598325 14.8452270917101
50 10.75 7.2 2.53 47.77 33.8 8 22.8 14.102865024567 NA NA NA NA NA NA NA NA NA
50 1.64 7.04 2.54 43.76 31.36 8 26.95 13.7084939007783 NA NA NA NA NA NA NA NA NA
50 7.37 7.48 3.98 33.98 21.17 6.92 41.26 16.2770381450574 16.4629105072736 16.4827306354509 NA NA NA NA NA NA NA
50 9.62 7.07 11.71 30.67 25.31 8.7 40.18 16.7260351752592 16.2573268053836 17.1018775873736 NA NA NA NA NA NA NA
50 8.5 7.28 7.85 32.27 23.24 7.81 40.71 16.7224512353713 16.5645927480972 16.8718412271689 NA NA NA NA NA NA NA
50 6.4 7.83 9.75 36.19 17.59 7.37 43.27 17.0016209880933 16.7082286474696 15.6305102642765 16.2399111776891 17.4464719657281 17.2227206454548 17.0974591081747 16.914168894319 16.5616990926175 17.2289683133987
